uri,url,error
http://data.bibliotheken.nl/doc/nbt/p079110665,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C245781,empty graph
http://data.bibliotheken.nl/doc/nbt/p091868297,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C295483,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p091868297,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C295483,empty graph
http://data.bibliotheken.nl/doc/nbt/p091905680,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C194499,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p091905680,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C194499,empty graph
http://data.bibliotheken.nl/doc/nbt/p093695284,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C476630,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p093695284,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C476630,empty graph
http://data.bibliotheken.nl/doc/nbt/p093751486,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C500814,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p093751486,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C500814,empty graph
http://data.bibliotheken.nl/doc/nbt/p093821298,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C566349,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p093821298,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C566349,empty graph
http://data.bibliotheken.nl/doc/nbt/p098385593,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C45968,empty graph
http://data.bibliotheken.nl/doc/nbt/p118721631,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C60923,empty graph
http://data.bibliotheken.nl/doc/nbt/p138503478,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C283494,empty graph
http://data.bibliotheken.nl/doc/nbt/p13850489X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C284984,empty graph
http://data.bibliotheken.nl/doc/nbt/p155556320,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C297391,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p155556320,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C297391,empty graph
http://data.bibliotheken.nl/doc/nbt/p190076399,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C175470,empty graph
http://data.bibliotheken.nl/doc/nbt/p205153127,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C498211,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p205153127,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C498211,empty graph
http://data.bibliotheken.nl/doc/nbt/p205187536,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C91372,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p205187536,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C91372,empty graph
http://data.bibliotheken.nl/doc/nbt/p205276946,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C119937,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p205276946,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C119937,empty graph
http://data.bibliotheken.nl/doc/nbt/p208145214,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C17124,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p208145214,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C17124,empty graph
http://data.bibliotheken.nl/doc/nbt/p208154787,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C237836,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p208154787,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C237836,empty graph
http://data.bibliotheken.nl/doc/nbt/p213099764,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C594028,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p213099764,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C594028,empty graph
http://data.bibliotheken.nl/doc/nbt/p21314199X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C359770,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p21314199X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C359770,empty graph
http://data.bibliotheken.nl/doc/nbt/p215705459,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C548365,empty graph
http://data.bibliotheken.nl/doc/nbt/p230168671,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C548354,empty graph
http://data.bibliotheken.nl/doc/nbt/p240091140,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C538515,empty graph
http://data.bibliotheken.nl/doc/nbt/p240602250,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C530560,empty graph
http://data.bibliotheken.nl/doc/nbt/p241778778,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C29843,empty graph
http://data.bibliotheken.nl/doc/nbt/p241785197,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C458132,empty graph
http://data.bibliotheken.nl/doc/nbt/p242479243,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C101618,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p242479243,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C101618,empty graph
http://data.bibliotheken.nl/doc/nbt/p242980783,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C155616,empty graph
http://data.bibliotheken.nl/doc/nbt/p243126174,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C536543,empty graph
http://data.bibliotheken.nl/doc/nbt/p254956513,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C483111,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p254956513,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C483111,empty graph
http://data.bibliotheken.nl/doc/nbt/p265233380,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C484127,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p265233380,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C484127,empty graph
http://data.bibliotheken.nl/doc/nbt/p266038611,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C133465,empty graph
http://data.bibliotheken.nl/doc/nbt/p266072968,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C437192,empty graph
http://data.bibliotheken.nl/doc/nbt/p266999832,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C518537,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p266999832,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C518537,empty graph
http://data.bibliotheken.nl/doc/nbt/p268426791,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C413506,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p268426791,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C413506,empty graph
http://data.bibliotheken.nl/doc/nbt/p268896933,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C75381,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p268896933,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C75381,empty graph
http://data.bibliotheken.nl/doc/nbt/p268897239,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C75249,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p268897239,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C75249,empty graph
http://data.bibliotheken.nl/doc/nbt/p268897662,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C75322,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p268897662,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C75322,empty graph
http://data.bibliotheken.nl/doc/nbt/p269115781,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C59940,empty graph
http://data.bibliotheken.nl/doc/nbt/p269515976,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C501133,empty graph
http://data.bibliotheken.nl/doc/nbt/p271473940,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C1056401,empty graph
http://data.bibliotheken.nl/doc/nbt/p272565717,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C322511,empty graph
http://data.bibliotheken.nl/doc/nbt/p272750255,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C500233,empty graph
http://data.bibliotheken.nl/doc/nbt/p275825779,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C258500,empty graph
http://data.bibliotheken.nl/doc/nbt/p279953488,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C63271,empty graph
http://data.bibliotheken.nl/doc/nbt/p28359375X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C39515,empty graph
http://data.bibliotheken.nl/doc/nbt/p288223276,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C513570,empty graph
http://data.bibliotheken.nl/doc/nbt/p288240561,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C384412,empty graph
http://data.bibliotheken.nl/doc/nbt/p291130941,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C91434,empty graph
http://data.bibliotheken.nl/doc/nbt/p291240798,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C185138,empty graph
http://data.bibliotheken.nl/doc/nbt/p291486495,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C596653,empty graph
